week,ID,R,Y,G,W,P,M,plants,aphids_per_click,fungus_present,plants_no_growth,spider_contam,ptoid_contam,mummy_contam,aphids_extinct,ptoids_extinct,ptoids_added
9,25GP,0,0,35,0,55,235,4,5,0,0,0,0,0,0,0,0
9,26RYG,85,38,62,0,0,0,4,5,0,0,0,0,0,0,0,0
9,27RYGP,43,34,65,1,2,84,4,5,0,0,0,0,0,0,0,0
9,28RP,8,0,0,0,55,79,8,1,0,0,0,0,0,0,0,0
9,29YP,0,144,0,0,12,29,4,5,0,1,0,0,0,0,0,0
9,30GP,0,0,299,0,11,119,4,5,0,0,0,0,0,0,0,0
10,1RYG,59,96,55,0,0,0,4,5,0,0,0,0,0,0,0,0
10,2RYGP,8,13,36,0,7,118,6,5,1,0,0,0,0,0,0,0
10,3RP,59,0,0,0,65,128,8,1,1,0,0,0,0,0,0,0
10,4YP,0,41,0,0,1,79,8,1,1,0,0,0,0,0,0,0
10,5GP,0,0,212,6,40,83,4,5,1,0,0,0,0,0,0,0
10,6RYG,63,100,75,20,0,0,4,5,0,0,0,0,0,0,0,0
10,7RYGP,2,8,5,0,80,84,8,1,0,0,0,0,0,0,0,0
10,8RP,25,0,0,0,65,59,8,1,0,0,0,0,0,0,0,0
10,9YP,0,33,0,0,55,151,4,5,1,0,0,0,0,0,0,0
10,10GP,0,0,24,0,70,136,4,5,1,0,0,0,0,0,0,0
10,11RYG,26,65,48,2,0,0,4,5,0,1,0,0,0,0,0,0
10,12RYGP,16,11,34,0,20,225,4,5,0,0,0,0,0,0,0,0
10,13RP,0,0,0,0,5,3,8,1,0,0,0,0,0,1,0,0
10,14YP,0,28,0,0,50,233,6,1,0,0,0,0,0,0,0,0
10,15GP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
10,16RYG,21,31,36,0,0,0,4,5,0,0,0,5,3,0,0,0
10,17RYGP,8,11,0,0,90,132,8,1,0,0,0,0,0,0,0,0
10,18RP,48,0,0,0,20,159,8,1,1,0,0,0,0,0,0,0
10,19YP,0,205,0,0,60,137,4,5,0,0,0,0,0,0,0,0
10,20GP,0,0,3,0,6,11,8,1,1,0,0,0,0,0,0,0
10,21RYG,53,100,68,3,0,0,4,5,0,0,0,0,0,0,0,0
10,22RYGP,4,1,0,0,38,280,4,5,1,0,0,0,0,0,0,0
10,23RP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
10,24YP,0,8,0,0,25,58,8,1,1,0,0,0,0,0,0,0
10,25GP,0,0,1,0,23,15,8,1,0,0,0,0,0,0,0,0
10,26RYG,67,49,47,7,0,0,4,5,1,0,0,0,0,0,0,0
10,27RYGP,5,1,1,0,15,190,4,5,0,0,0,0,0,0,0,0
10,28RP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
10,29YP,0,57,0,0,17,153,4,5,0,0,0,0,0,0,0,0
10,30GP,0,0,56,0,40,420,6,5,1,0,0,0,0,0,0,0
11,1RYG,50,51,36,0,0,0,4,5,0,0,0,0,0,0,0,0
11,2RYGP,42,11,182,0,45,79,8,1,1,0,0,0,0,0,0,0
11,3RP,0,0,0,0,9,5,8,1,1,0,0,0,0,1,0,0
11,4YP,0,1,0,0,9,6,8,1,1,0,0,0,0,0,0,0
11,5GP,0,0,44,0,70,242,4,5,1,0,0,0,0,0,0,0
11,6RYG,32,42,42,0,0,0,4,5,0,0,0,0,0,0,0,0
11,7RYGP,0,0,0,0,4,1,8,1,0,0,0,0,0,1,0,0
11,8RP,0,0,0,0,4,0,8,1,0,0,0,0,0,0,0,0
11,9YP,0,0,0,0,50,49,8,1,1,0,0,0,0,1,0,0
11,10GP,0,0,0,0,35,27,8,1,1,0,0,0,0,1,0,0
11,11RYG,56,140,73,0,0,0,4,5,0,0,0,0,0,0,0,0
11,12RYGP,3,9,1,0,140,135,8,1,0,0,0,0,0,0,0,0
11,13RP,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0
